"序號","英雄","槽位","技能名","模板","原設計","目前模板行為","待補機制","編譯","基本模擬","原機制","畫面"
"15","比利海靈頓","E","〔肩膀衝撞〕","tpl-buff-self","向前衝撞，命中第一名敵人後停止。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-15-20260907.e.guard"",""onExisting"":""keepLarger""}]。","需保護指定友軍與氣勢；目前自身。","passed","accepted","not-verified","not-run"
"15","比利海靈頓","R","〔兄貴背摔〕","tpl-pull-throw","對抓取中的目標進行背摔；未抓取時先做可被閃避的近身捕捉。","拖拉指定目標後向前投擲 400 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","目前單次投擲；需大摔技雙人動作同步與有限區域衝擊。","passed","accepted","not-verified","not-run"
"15","比利海靈頓","EX","〔兄弟站起來〕","tpl-buff-self","為附近友軍提供護盾與短效韌性，以振奮及健美姿勢演出。","自身取得 3 秒增益：as +20%；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":100,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-15-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","需氣勢消耗及附近隊友；目前自身攻速與盾。","passed","accepted","not-verified","not-run"
"16","魔法少女☆伊莉雅","PASSIVE","〔紅寶石的支援〕","tpl-on-attack","不同魔法技能連續施放後，強化下一次防禦或攻擊，不能由同一次多段命中快速疊滿。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需不同魔法施放序列及一次强化消耗。","passed","passive","not-verified","not-run"
"16","魔法少女☆伊莉雅","Q","〔魔力砲擊〕","tpl-line-sweep","由紅寶石之星發射直線魔力彈。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","魔杖彈体待製；目前分段光路。","passed","accepted","not-verified","not-run"
"16","魔法少女☆伊莉雅","W","〔魔力防壁〕","tpl-buff-self","展開有限耐久的正面護盾。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-16-20260907.w.guard"",""onExisting"":""keepLarger""}]。","目前全方向自身盾；需正面防壁。","passed","accepted","not-verified","not-run"
"16","魔法少女☆伊莉雅","E","〔魔法少女飛行〕","tpl-leap-strike","短距離浮空移動，仍受對決邊界與落點合法性限制。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","有限落點跳躍，不是持續飛行。","passed","accepted","not-verified","not-run"
"16","魔法少女☆伊莉雅","R","夢幻召喚・Saber","tpl-buff-self","限時取得 Saber 武裝，替換普攻與 Q；結束後還原，生命與冷卻持續。","自身取得 4 秒增益：ad +15%、as +20%。","目前 AD／攻速；需 Saber 武裝、普攻与 Q 替換與還原。","passed","accepted","not-verified","not-run"
"16","魔法少女☆伊莉雅","EX","限定展開・Excalibur","tpl-line-sweep","展開寶具進行一次有起手的直線光束攻擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","限定展開為一次光束，可作基礎驗收；需寶具武器掛點。","passed","accepted","not-verified","not-run"
"17","安茲·烏爾·恭","PASSIVE","〔情緒抑制〕","tpl-on-hit-react","受到控制後獲得短效控制抗性，具有內置冷卻。","受傷時觸發有 4 秒冷卻的小範圍反擊；不是防禦成功或閃避成功事件。","需受控後控制抗性及冷卻；目前受傷反擊。","passed","passive","not-verified","not-run"
"17","安茲·烏爾·恭","Q","心臟掌握","tpl-single-strike","對單一目標造成魔法傷害；低生命時追加有限傷害，仍經正常致死與保命流程。","指定單一敵人造成小級魔法傷害。","缺低生命有限追加與處決流程專測。","passed","accepted","not-verified","not-run"
"17","安茲·烏爾·恭","W","死亡騎士","tpl-summon-agent","召喚一名可受擊的死亡騎士，負責近身牽制。","召喚 1 名 thorne 樣板代理，6 秒、25% 傷害、30% 生命，同類上限 1、主人死亡清除。","死亡騎士造型待製，代理採 thorne。","passed","accepted","not-verified","not-run"
"17","安茲·烏爾·恭","E","高階傳送","tpl-teleport","移動到合法落點，保留可辨識的起點與終點演出。","傳送到指定落點，抵達後小範圍極小級傷害。","原設計只有傳送，模板帶抵達傷害，需審查這項改編。","passed","accepted","not-verified","not-run"
"17","安茲·烏爾·恭","R","墜落天空","tpl-ground-nova","長起手的區域超位魔法，具有明顯預警與中斷機會。","指定落點半徑 300 wc3u 的一次大級範圍傷害。","需長吟唱途中真正可中斷與落點預警。","passed","accepted","not-verified","not-run"
"17","安茲·烏爾·恭","EX","死亡是所有生命的終點","tpl-ground-nova","對範圍內敵人施加倒數詛咒。到期後，低於生命門檻者進入標準處決結算，其餘受到有限傷害。可依 GGD 規則以離開有效條件、淨化或保命能力反制。","指定落點半徑 300 wc3u 的一次中級範圍傷害。","目前立即範圍傷害；需倒數詛咒、標準處決、淨化與保命優先序。","passed","accepted","not-verified","not-run"
"18","吉爾伽美什","PASSIVE","〔王的財庫〕","tpl-on-attack","技能按次累積財庫能量，供 EX 消耗；命中段數不等於獲得次數。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需每次施法一次財庫能量與 EX 消耗。","passed","passive","not-verified","not-run"
"18","吉爾伽美什","Q","王之財寶","tpl-random-barrage","開啟三個門，依序發射武器。","在指定區域依序落下 3 發；每發間隔 0.18 秒、半徑 150 wc3u、極小級傷害，可多次命中。","目前三發落點打擊；需三門武器投射物及門的掛點。","passed","accepted","not-verified","not-run"
"18","吉爾伽美什","W","天之鎖","tpl-single-strike","射出鎖鏈，命中後短暫束縛；目標超出有效距離時解除。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""root"",""duration"":0.7,""applyTo"":""target"",""root"":true}]。","鎖足可作基礎控制；需超距解鎖、鎖鏈端點。","passed","accepted","not-verified","not-run"
"18","吉爾伽美什","E","〔黃金甲冑〕","tpl-buff-self","提供短效護盾，降低正面承受的爆發。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-18-20260907.e.guard"",""onExisting"":""keepLarger""}]。","目前全方向盾；缺正面條件。","passed","accepted","not-verified","not-run"
"18","吉爾伽美什","R","天地乖離開闢之星","tpl-line-sweep","以 Ea 進行明顯蓄力後的扇形／直線範圍攻擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","Ea 造型、蓄力層與單一總傷害預算需補。","passed","accepted","not-verified","not-run"
"18","吉爾伽美什","EX","〔王之財寶・齊射〕","tpl-random-barrage","消耗財庫能量，分波發射最多十二件武器；各波有固定間隔。","在指定區域依序落下 12 發；每發間隔 0.12 秒、半徑 150 wc3u、極小級傷害，可多次命中。","12 發已有限；需扣財庫能量及武器多樣外觀。","passed","accepted","not-verified","not-run"
"19","桐谷和人","PASSIVE","二刀流","tpl-on-attack","交替命中累積連擊節奏，停止交鋒後衰退；提供有限攻速加成。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需左右手交替命中、節奏衰退與攻速。","passed","passive","not-verified","not-run"
"19","桐谷和人","Q","〔雙劍交叉斬〕","tpl-lock-combo","左右手各進行一次近戰判定。","2 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","需左右手掛點對應。","passed","accepted","not-verified","not-run"
"19","桐谷和人","W","〔劍技招架〕","tpl-buff-self","短窗口迎擊正面攻擊，成功後強化下一次近戰。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-19-20260907.w.guard"",""onExisting"":""keepLarger""}]。","需迎擊窗口與成功後下一刀加成。","passed","accepted","not-verified","not-run"
"19","桐谷和人","E","Sonic Leap","tpl-leap-strike","短距離躍進斬擊，碰撞或落點失效時安全停止。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","需對目標的躍進斬、牆體與落點失效處理。","passed","accepted","not-verified","not-run"
"19","桐谷和人","R","Starburst Stream","tpl-lock-combo","十六次依序發生的斬擊機會；每次重新檢查目標範圍，整招共享傷害預算。","16 段連擊，間隔 0.1 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","16 段已可配置；須證明每段重查距離、中斷後不再命中及總預算。","passed","accepted","not-verified","not-run"
"19","桐谷和人","EX","The Eclipse","tpl-lock-combo","更長起手的二十七連擊終結技；具有更高的暴露時間與中斷風險。","20 段連擊，間隔 0.1 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","模板 hitCount 上限 20，不能冒稱 27 連擊；需有序 27 段的共用模板擴充，不採兩個並行連擊拼接。","passed","accepted","not-verified","not-run"
"20","御坂美琴","PASSIVE","〔電荷累積〕","tpl-on-attack","不同技能命中累積電荷，上限三層；下一次強化技消耗。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需三層電荷及下一次強化技消耗。","passed","passive","not-verified","not-run"
"20","御坂美琴","Q","電擊之槍","tpl-line-sweep","直線電擊，主要作為穩定消耗。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需單道電擊與貫穿去重。","passed","accepted","not-verified","not-run"
"20","御坂美琴","W","〔連鎖放電〕","tpl-single-strike","在附近不同敵人間跳躍，同一施法不重複命中同一目標。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""chainLightning"",""shape"":""single"",""amount"":{""damageTier"":""極小"",""ratios"":[]},""damageType"":""magic"",""jumps"":3,""jumpRange"":3,""decay"":0.8,""revisit"":false,""maxTotalJumps"":3,""jumpIntervalSec"":0.12}]。","模板主命中加鏈起點會對起點追加；需原設計整招同目標只命中一次。","passed","accepted","not-verified","not-run"
"20","御坂美琴","E","〔鐵砂防壁〕","tpl-buff-self","用鐵砂建立短效護盾，破盾時散開為純視覺碎粒。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-20-20260907.e.guard"",""onExisting"":""keepLarger""}]。","鐵砂碎粒及破盾事件待補。","passed","accepted","not-verified","not-run"
"20","御坂美琴","R","超電磁砲","tpl-line-sweep","彈出硬幣後發射有預警的高傷害直線攻擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","目前四段線；需硬幣彈出、單發射線與整體傷害上限。","passed","accepted","not-verified","not-run"
"20","御坂美琴","EX","〔電磁過載〕","tpl-buff-self","消耗電荷，強化下一次 Q 的範圍或 W 的跳躍數；使用時明示強化結果。","自身取得 3 秒增益：ap +15%。","僅 AP 增益；需電荷扣除與 Q／W 指定版本強化。","passed","accepted","not-verified","not-run"
"21","鹿目圓","PASSIVE","〔希望的連結〕","tpl-on-attack","有效保護友軍時累積希望，上限三層；溢出治療與無效護盾不提供資源。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需有效治療／吸收量計算希望，溢出不計。","passed","passive","not-verified","not-run"
"21","鹿目圓","Q","〔光之箭〕","tpl-traveling-wave","發射直線魔法箭。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","需魔法箭投射物。","passed","accepted","not-verified","not-run"
"21","鹿目圓","W","〔希望之弓〕","tpl-buff-self","為指定友軍提供護盾；消耗一層希望可加強。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-21-20260907.w.guard"",""onExisting"":""keepLarger""}]。","目前自身；需指定友軍及希望消耗。","passed","accepted","not-verified","not-run"
"21","鹿目圓","E","〔淨化之願〕","tpl-buff-self","解除一項可淨化的負面狀態，並提供短效移速。","自身取得 3 秒增益：極小級移速。","目前自身加速；需一項可淨化狀態移除。","passed","accepted","not-verified","not-run"
"21","鹿目圓","R","〔願望箭雨〕","tpl-random-barrage","對指定區域發射有限波次的箭雨。","在指定區域依序落下 3 發；每發間隔 0.35 秒、半徑 150 wc3u、極小級傷害，可多次命中。","有限三波箭雨已對應；箭形資產待製。","passed","accepted","not-verified","not-run"
"21","鹿目圓","EX","圓環之理","tpl-buff-self","對一名友軍施加短期保命印記。首次受到致死傷害時消耗印記，保留少量生命並短暫保護。同一目標每回合限一次。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":160,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-21-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","護盾不是友軍致死攔截；需限時保命印記與每目標每回合一次。","passed","accepted","not-verified","not-run"
"22","菜月昴","PASSIVE","〔記住這次失敗〕","tpl-mark-stacks","完成一次死亡回歸後，短暫標記造成致死傷害的敵人；只顯示當前合法可見資訊。","本場一層免死標記，首次致死消耗並回復 15% 生命，保護 0.5 秒。","本場免死不是死亡回歸；需與 R／EX 共用存檔並合法顯示致死來源。","passed","passive","not-verified","not-run"
"22","菜月昴","Q","Shamac","tpl-single-strike","製造短暫黑霧干擾，效果限定於 GGD 核准的視覺／命中干擾範圍。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":1.5,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","固定緩速不代表黑霧感官／命中干擾。","passed","accepted","not-verified","not-run"
"22","菜月昴","W","〔鞭繩牽制〕","tpl-pull-throw","中短距離鞭擊，命中後小幅牽引。","拖拉指定目標後向前投擲 100 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","抓投是模板預覽；需鞭擊後小幅牽引，不應拋飛目標。","passed","accepted","not-verified","not-run"
"22","菜月昴","E","〔重新振作〕","tpl-buff-self","提供自己與附近一名友軍小額護盾，協助重新進入戰鬥。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-22-20260907.e.guard"",""onExisting"":""keepLarger""}]。","需自己及附近一名友軍。","passed","accepted","not-verified","not-run"
"22","菜月昴","R","死亡回歸","tpl-buff-self","施放時保存自己的位置與生命，存檔有效五秒。期間首次致死傷害被攔截，返回合法存檔位置，恢復到存檔生命但不超過既定上限。每回合最多成功一次。其他角色、世界時間、傷害紀錄、金幣、經驗與冷卻均繼續。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":100,""ratios"":[]},""applyTo"":""self""}]。","目前立即恢復 100 生命；需五秒位置生命快照、致死回溯與合法落點。","passed","accepted","not-verified","not-run"
"22","菜月昴","EX","〔重新選擇〕","tpl-buff-self","R 存檔有效且自己仍存活時，主動消耗同一存檔，回復位置與受上限限制的生命。使用後該存檔不再攔截致死傷害。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":80,""ratios"":[]},""applyTo"":""self""}]。","目前立即恢復 80 生命；需主動消耗 R 同一快照且不得重置冷卻。","passed","accepted","not-verified","not-run"
"23","坂田銀時","PASSIVE","〔糖分補給〕","tpl-on-attack","脫戰後累積一份補給，供 W 消耗；最多保存一份。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需脫戰保存一份補給給 W。","passed","passive","not-verified","not-run"
"23","坂田銀時","Q","〔洞爺湖・橫斬〕","tpl-line-sweep","木刀橫掃前方。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需木刀近身弧形判定。","passed","accepted","not-verified","not-run"
"23","坂田銀時","W","〔草莓牛奶休息時間〕","tpl-buff-self","短暫飲用補給恢復生命，受擊或移動會中斷。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":100,""ratios"":[]},""applyTo"":""self""}]。","需喝草莓牛奶動作、移動／受擊中斷。","passed","accepted","not-verified","not-run"
"23","坂田銀時","E","〔萬事屋式反擊〕","tpl-buff-self","短時間招架，成功後可接一次木刀反擊。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-23-20260907.e.guard"",""onExisting"":""keepLarger""}]。","需招架成功後一次反擊窗口。","passed","accepted","not-verified","not-run"
"23","坂田銀時","R","〔白夜叉〕","tpl-buff-self","限時強化近戰動作與追擊能力，不提供永久變形。","自身取得 4 秒增益：ad +15%、極小級移速。","短期 AD＋移速對應基础强化；白夜叉動作待製。","passed","accepted","not-verified","not-run"
"23","坂田銀時","EX","〔吐槽也是武器〕","tpl-single-strike","近身重擊打斷一個可中斷的施法，以吐槽文字及誇張表情演出。","指定單一敵人造成小級物理傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""stun"",""duration"":0.5,""applyTo"":""target"",""stun"":true}]。","0.5 秒暈眩可測基本打斷；須限定可中斷施法與吐槽文字對齊。","passed","accepted","not-verified","not-run"
"24","奇犽","PASSIVE","〔電力儲備〕","tpl-on-attack","技能消耗電力；停止攻擊一段時間後逐步充電，設上限。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需電力上限／脫戰充電；目前用標準魔力。","passed","passive","not-verified","not-run"
"24","奇犽","Q","落雷","tpl-ground-nova","指定小區域的延遲電擊。","指定落點半徑 300 wc3u 的一次小級範圍傷害。","短起手落點電擊對應基礎版。","passed","accepted","not-verified","not-run"
"24","奇犽","W","肢曲","tpl-leap-strike","短距離側移並留下殘像；只有有效迴避才觸發後續反擊資源。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","需貼地肢曲殘像與有效閃避事件。","passed","accepted","not-verified","not-run"
"24","奇犽","E","電光石火","tpl-buff-self","持續消耗電力提高移動速度，關閉或電力耗盡時停止。","自身取得 3 秒增益：極小級移速。","目前固定 3 秒加速；需開關及持續扣電。","passed","accepted","not-verified","not-run"
"24","奇犽","R","神速・疾風迅雷","tpl-buff-self","短期開啟自動反應：符合距離與攻擊條件時進行有限次反擊，每次消耗電力且有觸發間隔。","自身取得 3 秒增益：as +20%、極小級移速。","目前攻速／移速；需受攻擊條件自動反應、限次扣電及循環防止。","passed","accepted","not-verified","not-run"
"24","奇犽","EX","〔充電釋放〕","tpl-ground-nova","消耗剩餘電力進行近身爆發，之後進入低電力狀態。","指定落點半徑 300 wc3u 的一次中級範圍傷害。","固定傷害；需消耗剩餘電力與低電力狀態。","passed","accepted","not-verified","not-run"
"25","一拳超人","PASSIVE","〔興趣使然的英雄〕","tpl-on-attack","一段時間未攻擊後，下一次普通拳獲得有限強化。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需未攻擊時間與下一拳一次消耗。","passed","passive","not-verified","not-run"
"25","一拳超人","Q","普通拳","tpl-single-strike","短距離單次重拳。","指定單一敵人造成小級物理傷害。","普通拳仍走標準傷害。","passed","accepted","not-verified","not-run"
"25","一拳超人","W","連續普通拳","tpl-lock-combo","多段拳擊，整招使用固定傷害預算。","5 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","需要整招總傷害預算；目前每段各自級距。","passed","accepted","not-verified","not-run"
"25","一拳超人","E","〔趕上特賣〕","tpl-charge-push","直線快速移動，碰撞後停止。","向指定方向突進 450 wc3u，造成極小級碰撞範圍傷害與推移。","碰撞安全需場景驗收。","passed","accepted","not-verified","not-run"
"25","一拳超人","R","認真系列・認真一拳","tpl-line-sweep","長起手後的高傷害衝擊波，具有明顯方向與閃避窗口。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","四段衝擊波不等於單拳總結算；需高單擊預算與較長起手。","passed","accepted","not-verified","not-run"
"25","一拳超人","EX","認真系列・認真反覆橫跳","tpl-buff-self","短期快速左右移動並產生殘像，提供有限迴避機會。","自身取得 3 秒增益：極小級移速。","目前移速增益；需左右連續側移與有限次有效迴避。","passed","accepted","not-verified","not-run"
"26","名偵探柯南","PASSIVE","〔線索整理〕","tpl-on-attack","對已觀察敵人收集最多三條線索，每種有效戰鬥事件只計一次。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需觀察線索、事件類型去重與三層上限。","passed","passive","not-verified","not-run"
"26","名偵探柯南","Q","足球射擊","tpl-traveling-wave","以腳力增強鞋踢出足球，依射線與碰撞命中。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","需足球單彈碰撞與腳踢動作。","passed","accepted","not-verified","not-run"
"26","名偵探柯南","W","手錶型麻醉槍","tpl-single-strike","單發針造成短暫睡眠；目標受到後續傷害時提前醒來。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""stun"",""duration"":0.7,""applyTo"":""target"",""stun"":true}]。","0.7 秒暈眩只是底稿；需受傷可喚醒的睡眠及針彈碰撞。","passed","accepted","not-verified","not-run"
"26","名偵探柯南","E","渦輪引擎滑板","tpl-buff-self","短期提高移動能力，急轉、碰撞與停止均有清楚狀態。","自身取得 3 秒增益：極小級移速。","僅 3 秒移速；需滑板加減速、急轉與碰撞狀態。","passed","accepted","not-verified","not-run"
"26","名偵探柯南","R","〔真相只有一個〕","tpl-single-strike","消耗目標線索，揭示其當前位置並施加短效弱點標記；不揭露對決外或未授權資訊。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":2,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","目前緩速；需消耗線索、弱點標記及合法位置揭示。","passed","accepted","not-verified","not-run"
"26","名偵探柯南","EX","伸縮吊帶","tpl-pull-throw","連接合法目標或錨點，完成一次有限拉動；超距與碰撞時中止。","拖拉指定目標後向前投擲 120 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","需吊帶錨點分支與有限拉動，不應預設摔投。","passed","accepted","not-verified","not-run"
"27","庫洛魔法使","PASSIVE","〔卡牌連結〕","tpl-on-attack","依序使用不同卡牌累積連結，上限三層，強化下一次護盾。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需不同牌序列三層與護盾消耗。","passed","passive","not-verified","not-run"
"27","庫洛魔法使","Q","風牌","tpl-single-strike","以風束攻擊並推動目標。","指定單一敵人造成小級魔法傷害。","風束推動缺 knockback；目前單體魔法。","passed","accepted","not-verified","not-run"
"27","庫洛魔法使","W","盾牌","tpl-buff-self","為自己或指定友軍提供護盾。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-27-20260907.w.guard"",""onExisting"":""keepLarger""}]。","目前自身；需友軍選取。","passed","accepted","not-verified","not-run"
"27","庫洛魔法使","E","翔牌","tpl-leap-strike","短期飛行位移，具有合法落點與高度限制。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","有限落點飛躍可預覽；翔牌武器姿態待補。","passed","accepted","not-verified","not-run"
"27","庫洛魔法使","R","劍牌","tpl-buff-self","短期將法杖化為劍，替換普攻並強化近戰。","自身取得 4 秒增益：ad +15%、as +20%。","AD／攻速强化不等於劍牌；需普攻替換、武器及還原。","passed","accepted","not-verified","not-run"
"27","庫洛魔法使","EX","〔換牌：風與樹〕","tpl-single-strike","將 Q 在風牌推動與樹牌束縛之間切換；兩者共享 Q 的冷卻與資源。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""root"",""duration"":0.7,""applyTo"":""target"",""root"":true}]。","目前固定樹牌鎖足；需風／樹 Q 版本切換，共享冷卻。","passed","accepted","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","PASSIVE","〔劍神流・先發制人〕","tpl-on-attack","對剛進入交鋒的目標，首次近戰命中獲得有限強化；同一目標有冷卻。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需對剛交鋒目標的首次命中及每目標冷卻。","passed","passive","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","Q","〔猛進斬〕","tpl-charge-push","向前踏步斬擊。","向指定方向突進 180 wc3u，造成極小級碰撞範圍傷害與推移。","短踏步可以預覽；需武器斬擊時點。","passed","accepted","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","W","〔鬥氣護身〕","tpl-buff-self","短時間提高承傷能力，無法無限疊加。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-28-20260907.w.guard"",""onExisting"":""keepLarger""}]。","有限承傷對應基礎版。","passed","accepted","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","E","〔逼近步〕","tpl-charge-push","短距離接近，保留可被攔截的路徑。","向指定方向突進 250 wc3u，造成極小級碰撞範圍傷害與推移。","此模板附帶傷害推移，需審查逼近步是否保留這項改編。","passed","accepted","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","R","光之太刀","tpl-charge-push","有明確起手的高速直線斬擊，命中後停在合法位置。","向指定方向突進 450 wc3u，造成極小級碰撞範圍傷害與推移。","需較長起手、高速單段斬及命中停點。","passed","accepted","not-verified","not-run"
"28","艾莉絲·伯雷亞斯·格雷拉特","EX","〔狂劍追擊〕","tpl-single-strike","對剛被自己擊中的近身目標進行一次額外追擊，超距時不能使用。","指定單一敵人造成小級物理傷害。","需剛被自身命中的目標條件與追擊窗口。","passed","accepted","not-verified","not-run"
"29","芙莉蓮","PASSIVE","魔力抑制","tpl-on-attack","降低敵方魔力感知類技能取得的強度資訊；不等同隱形，也不隱藏基本敵我識別。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需魔力感知的資訊層抑制，不可用隱形或傷害被動冒充。","passed","passive","not-verified","not-run"
"29","芙莉蓮","Q","一般攻擊魔法・Zoltraak","tpl-line-sweep","直線魔法射擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","Zoltraak 原型；需單束碰撞去重。","passed","accepted","not-verified","not-run"
"29","芙莉蓮","W","防禦魔法","tpl-buff-self","展開方向明確的防壁，消耗資源抵擋有限傷害。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-29-20260907.w.guard"",""onExisting"":""keepLarger""}]。","目前無方向盾；需六角防壁方向、耐久與持續消耗。","passed","accepted","not-verified","not-run"
"29","芙莉蓮","E","飛行魔法","tpl-leap-strike","短距離浮空移動。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","短期浮空可用落點跳躍預覽，不提供持續飛行。","passed","accepted","not-verified","not-run"
"29","芙莉蓮","R","〔葬送連射〕","tpl-random-barrage","依序射出多方向魔法束，每束有獨立射線及整招總傷害上限。","在指定區域依序落下 6 發；每發間隔 0.35 秒、半徑 150 wc3u、極小級傷害，可多次命中。","目前定點六波；需各方向獨立射線及總傷害上限。","passed","accepted","not-verified","not-run"
