編號,稱號,全名,職業,攻擊類型,名言,描述
godie-n003,黑暗福音,依文潔琳,marksman,ranged,凍てつけ！（凍結吧！）,"故事：
吸血鬼的真祖〔以怪物來說是最強的等級而且是吸血鬼中屬於最高階的人物﹞，在15年以前是被稱為『闇之福音』、『不死的魔法使』。
(出自:魔法老師)

推薦玩家 : 團戰殺手
上手度 : 難

角色成長：
力量 + 1.20
敏捷 + 1.50
智慧 + 2.60
基礎跑速 295
*只有在夜晚才會自動回覆生命值

可學習的技能：
凍結的大地、吸血祭品、暗夜吹雪、世界終結"
godie-n00b,小叮噹,哆拉A夢,fighter,melee,タケコプター！（竹蜻蜓！招牌道具）,"故事：
從21世紀來的機械貓，因為感受到體內KUSO魂呼喚，所以決定在去死團大闖天下。
(出自:小叮噹)

推薦玩家 : 團戰輔助
上手度 : 中

角色成長：
力量 + 2.00
敏捷 + 1.85
智慧 + 2.45
基礎跑速 305

可學習的技能：
空氣砲、任意門、複製鏡、竹蜻蜓"
godie-n00p,妖狐藏馬,南野秀一,marksman,ranged,薔薇棘鞭殺（ローズウィップ）！（薔薇鞭！招牌武器）,"故事：
魔界高級妖魔轉生寄宿為人類，為控制魔界植物的支配者。
(出自:幽遊白書)

角色成長：
力量 + 1.85
敏捷 + 1.80
智慧 + 2.65
基礎跑速 300

可學習的技能：
寄生種子、風華圓舞陣、妖狐變化、魔界樹海"
godie-n01c,傳說的龍騎士,勇者小呆,fighter,melee,アバンストラッシュ！（阿邦流斬擊！）,"故事：
傳說中打敗魔王的勇者，為神魔人混血創造的龍騎士，為了維護世界和平，再度使用高超的阿邦快速劍斬殺敵人。
(出自:神龍之謎)

推薦玩家 : 團戰破塔
上手度 : 中

角色成長：
力量 + 1.70
敏捷 + 2.70
智慧 + 1.80
基礎跑速 305

可學習的技能：
雙龍紋、萊丁快速劍、龍鬥氣砲咒文、阿邦快速劍X"
godie-n01g,黑暗福音,依文潔琳,marksman,ranged,凍てつけ！（凍結吧！）,"故事：
吸血鬼的真祖〔以怪物來說是最強的等級而且是吸血鬼中屬於最高階的人物﹞，在15年以前是被稱為『闇之福音』、『不死的魔法使』。
(出自:魔法老師)

推薦玩家 : 團戰殺手
上手度 : 難

角色成長：
力量 + 1.40
敏捷 + 1.50
智慧 + 2.60
基礎跑速 295
*只有在夜晚才會自動回覆生命值

可學習的技能：
凍結的大地、吸血祭品、暗夜吹雪、世界終結"
godie-n01l,學姊,小派,fighter,melee,後輩くん、私のこと…気になっちゃってるでしょ？（學弟～你其實…很在意學姊我對吧？）,"故事：

(出自:現實的人生)

角色成長：
力量 + 1.40
敏捷 + 2.30
智慧 + 2.30
基礎跑速 320

可學習的技能：
理財的習慣、平易近人的笑容、從過去中學習、自在飛翔"
godie-naka,猿飛佐助,風魔小次郎,fighter,melee,風魔の小次郎、推参！（風魔的小次郎，登場！）,"故事：
神秘的忍者，藏在敵人的影子之中難以發現，暗殺的達人，不攻擊的時候甚至可以永久隱形。
(出自:忍者傳說)

推薦玩家 : 暗殺鬼隱
上手度 : 難

角色成長：
力量 + 1.65
敏捷 + 2.00
智慧 + 2.65
基礎跑速 310

可學習的技能：
忍法風魔手裡劍、忍法鬼穿刺、忍法千變萬化之刀、忍法暗殺奧義-飛燕閃"
godie-nbbc,傳說的龍騎士,勇者小呆,fighter,melee,アバンストラッシュ！（阿邦流斬擊！）,"故事：
傳說中打敗魔王的勇者，為神魔人混血創造的龍騎士，為了維護世界和平，再度使用高超的阿邦快速劍斬殺敵人。
(出自:神龍之謎)

推薦玩家 : 團戰破塔
上手度 : 中

角色成長：
力量 + 1.70
敏捷 + 2.70
智慧 + 1.80
基礎跑速 305

可學習的技能：
雙龍紋、萊丁快速劍、龍鬥氣砲咒文、阿邦快速劍X"
godie-nbst,變態正義,瘋狂假面,fighter,melee,私はただの変態じゃない、正義の変態だ！（我可不是普通的變態，是正義的變態！）,"故事：
傳說瘋狂假面是一個實行變態正義的人，一旦套上小褲褲就會變成正義超人，擁有制裁罪惡的超能力。
(出自:瘋狂假面)

推薦玩家 : 破塔殺人
上手度 : 中

角色成長：
力量 + 2.10
敏捷 + 1.60
智慧 + 1.70
基礎跑速 310

可學習的技能：
這是我的豆皮壽司、變態根性、變態絕技悶絕地獄車、內褲變身"
godie-nman,地獄歌神,憤怒的胖虎,fighter,melee,お前のものは俺のもの、俺のものも俺のもの。（你的東西是我的，我的東西也是我的。）,"故事：
身為孩子王的胖虎卻找不到女伴，如此大的怨念讓胖虎憤怒的成為去死團的戰士。
(出自:小叮噹)

推薦玩家 : 團戰破塔
上手度 : 中

角色成長：
力量 + 2.50
敏捷 + 1.45
智慧 + 1.75
基礎跑速 310

可學習的技能：
威脅之拳、爆熱神音、痛哭流涕麥克風、地獄搖滾"
godie-nplh,通靈人,麻倉葉,fighter,melee,なんとかなる（船到橋頭自然直）,"故事：
為了修練來到愛與和平，擁有安娜授予《超．占事略決》，得到了新的超越靈魂──阿隬陀丸in春雨in御神體之劍。
(出自:通靈童子)

推薦玩家 : 連技殺人
上手度 : 難

角色成長：
力量 + 2.35
敏捷 + 1.75
智慧 + 2.00
基礎跑速 315

可學習的技能：
超 - 占事略決、阿彌陀流真空佛陀斬、無無明亦無、劍之精靈"
godie-nsjs,妖狐藏馬,南野秀一,marksman,ranged,薔薇棘鞭殺（ローズウィップ）！（薔薇鞭！招牌武器）,"故事：
魔界高級妖魔轉生寄宿為人類，為控制魔界植物的支配者。
(出自:幽遊白書)

推薦玩家 : 追擊破塔
上手度 : 難

角色成長：
力量 + 1.85
敏捷 + 1.80
智慧 + 2.65
基礎跑速 300

可學習的技能：
風華圓舞陣、寄生種子、妖狐變化、億年樹"
godie-ntin,時空管理局執務官,菲特·泰斯塔羅沙,fighter,melee,バルディッシュ、ザンバーフォーム！（巴爾迪修，斬滅型態！（時空管理局執務官的招牌變形指令））,"故事：
任職於時空管理局，擔任的職位是執務官。階級相當於一等尉。 轉任至機動六課後擔任的職位為搜查指揮，兼任雷光「Lightning」分隊的隊長。 利用工作，她保護了與她一樣際遇的小孩子，並適時的給了他們一份溫暖。
(出自:魔法少女奈葉)

推薦玩家 : 團戰輔助
上手度 : 中

角色成長：
力量 + 2.00
敏捷 + 2.20
智慧 + 1.80
基礎跑速 325

可學習的技能：
電離光槍 - 繁星飛躍、超音型態、雷牙一閃 - 雷牙裂霸、雷焰聖劍"
godie-o00k,傲嬌電氣老鼠,皮卡娘,marksman,ranged,ピカ…ピカチュウ♡（皮卡…皮卡丘♡）,"故事：
相當傲嬌的皮卡丘，從小就展現出超出一般水準的戰鬥能力，是個斗S，喜歡身為M的主人小智，。
(出自:SATO X PICA)

推薦玩家 : 游擊殺手
上手度 : 中

角色成長：
力量 + 1.60
敏捷 + 2.60
智慧 + 1.80
基礎跑速 320

可學習的技能：
十萬伏特、電光一閃、神鳴、打雷絕招"
godie-o00l,獸神官,傑洛士,marksman,ranged,それは秘密です♪（那是祕密喔♪）,"故事：
隸屬於獸王底下的神官，是非常高等的魔族，擁有強大的魔法破壞力，不過通常隱身在幕後扮演調查和輔助的角色。
(出自:秀逗魔導士)

推薦玩家 : 團戰暗殺
上手度 : 難

角色成長：
力量 + 1.75
敏捷 + 1.40
智慧 + 3.10
基礎跑速 295

可學習的技能：
強化炸彈陣、獸王牙操彈、破法對咒、暴爆咒"
godie-o00x,超級賽亞人,悟空,fighter,melee,オッス！オラ悟空！（嘿！俺是悟空！）,"故事：
七龍珠中不死的傳奇英雄，每當世界有難的時候總會亂入(!?)。
(出自:七龍珠)

角色成長：
力量 + 2.60
敏捷 + 2.30
智慧 + 1.50
基礎跑速 310

可學習的技能：
界王拳、瞬間移動、龜派氣功、元氣玉"
godie-o01z,魔砲少女,高町奈葉,marksman,ranged,スターライトブレイカー！（星光爆裂！（魔砲少女的招牌大魔砲））,"故事：
傳說中的「白色惡魔」，在每一次的任務中，她總是能以「以砲交友」的方法把敵人降服成為碰友。其傳說不斷的進化，到最近竟然還有她是冥王轉世的說法出現。
(出自:魔砲少女奈葉)

推薦玩家 : 團戰砲台
上手度 : 中

角色成長：
力量 + 1.70
敏捷 + 1.45
智慧 + 2.85
基礎跑速 295

可學習：
Barrel、Acxel Shooter、Divine Buster Extention、Starlight Breaker Plus"
godie-o02l,神騎寶貝,皮卡丘,fighter,melee,ピカチュウ！（招牌叫聲，非說話生物）,
godie-o02o,曹操孟德,阿瞞大人,fighter,melee,寧教我負天下人，休教天下人負我。（寧可我負天下人，不教天下人負我。）,"故事：
。
(出自:)

推薦玩家 : 連技殺手
上手度 : 難

角色成長：
力量 + 1.70
敏捷 + 2.60
智慧 + 1.70
基礎跑速 320

可學習的技能：
電光一閃、十萬伏特、就決定是你了!小智、打雷絕招"
godie-o02p,夢幻之星,初音,fighter,melee,みくみくにしてあげる♪（讓你滿腦子都是初音~）,"故事：
人類史上第一個紅遍全球的虛擬歌姬，儘管到了今日仍在發光發熱，甚至有專屬初音的感謝祭演場會。
(出自:HATSUNE MIKU)

推薦玩家 : 輔助戰鬥
上手度 : 易

角色成長：
力量 + 2.00
敏捷 + 2.30
智慧 + 1.70
基礎跑速 315

可學習的技能：
甩蔥歌、最初的聲音、初音未來的消失、世界第一的公主殿下"
godie-o02s,憂鬱少女,涼宮八ㄦ匕,marksman,ranged,ただの人間には興味ありません！この中に宇宙人、未来人、異世界人、超能力者がいたら、あたしのところに来なさい。以上！（我對普通人類沒興趣！在座若有外星人、未來人、異世界人、超能力者，就來找我。以上！）,"故事：
隸屬於獸王底下的神官，是非常高等的魔族，擁有強大的魔法破壞力，不過通常隱身在幕後扮演調查和輔助的角色。
(出自:秀逗魔導士)

推薦玩家 : 團戰暗殺
上手度 : 難

角色成長：
力量 + 1.75
敏捷 + 1.40
智慧 + 3.10
基礎跑速 295

可學習的技能：
強化炸彈陣、獸王牙操彈、破法對咒、暴爆咒"
godie-o02v,白色惡魔,高町奈葉,marksman,ranged,大丈夫だよ、当たっても死んだりしないから。（別擔心，就算打中了也不會死的啦～（白色惡魔式的恐怖溫柔））,"故事：
傳說中的「白色惡魔」，在每一次的任務中，她總是能以「以砲交友」的方法把敵人降服成為碰友。其傳說不斷的進化，到最近竟然還有她是冥王轉世的說法出現。
(出自:魔砲少女奈葉)

推薦玩家 : 團戰砲台
上手度 : 中

角色成長：
力量 + 1.80
敏捷 + 1.50
智慧 + 2.70
基礎跑速 285

可學習：
Barrel、Acxel Shooter、Divine Buster Extention、Starlight Breaker Plus"
godie-o02w,笑傲江湖,令狐沖,fighter,melee,無招勝有招。（以無招勝有招（獨孤九劍之精髓）。）,"故事：
華山劍派之首席大弟子，為人大而化之不拘小節，且不喜世俗教條之束縛，因緣際會之下習得了武林奇功「獨孤九劍」，因為心愛的小師妹跟小白臉跑了，傷心之餘加入了去死團。
(出自:笑傲江湖)

推薦玩家 : 快速單挑
上手度 : 中易

角色成長：
力量 + 1.85
敏捷 + 2.80
智慧 + 1.55
基礎跑速 305

可學習的技能：
華山劍法、混元掌、吸星大法、獨孤九劍"
godie-obla,被剝削的勞工階級,牧太郎,fighter,melee,残業、残業、また残業…俺の人生、返してくれ！（加班、加班、又是加班…把我的人生還給我！）,"故事：
在牧場打工，領著低薪的低賤勞工，原名已經不詳，只知道大家叫他牧太郎。擅長砍樹﹑養雞﹑照顧動物，偶爾還會吐吐口香糖。據說是為了打零工才加入去死團。
(出自:牧場物語)

推薦玩家 : 追擊殺人
上手度 : 難

角色成長：
力量 + 2.55
敏捷 + 2.00
智慧 + 1.55
基礎跑速 310

可學習的技能：
放山雞、吃完的口香糖、地道突襲、動物拳法"
godie-ofar,神奇寶貝兒,皮卡丘,marksman,ranged,ピカチュウ！（招牌叫聲，非說話生物）,"故事：
自從皮卡丘成為國際巨星後，開始也擺起架勢把小智當傭人使喚，直到有一天在森林裡吃蘋果的時候，發現已經身在這場戰鬥中。
(出自:神奇寶貝)

推薦玩家 : 游擊殺手
上手度 : 中

角色成長：
力量 + 1.50
敏捷 + 2.90
智慧 + 1.60
基礎跑速 320

可學習的技能：
十萬伏特、鋼鐵尾巴、就決定是你了!小智、瘋狂皮卡丘"
godie-ogld,美白大法師,黑人牙膏,marksman,ranged,その歯、真っ白にしてやろう！（把你的牙齒美白吧！）,"故事：
曾是魔法界首屈一指美白專家，個性善良；但在一次魔法決鬥中敗給飛鼠先生。自認為輸給飛鼠是因為智慧不夠，所以希望在有生之年收個聰明的徒弟一雪前恥。
(出自:去死去死團的逆襲原創)

角色成長：
力量 + 1
敏捷 + 1.50
智慧 + 1.50
基礎跑速 250

可學習的技能：
洗刷刷、黑人牙菌斑、超亮白牙膏、黑化"
godie-ogrh,賽亞人,悟空,fighter,melee,オッス！オラ悟空！（嘿！俺是悟空！）,"故事：
七龍珠中不死的傳奇英雄，每當世界有難的時候總會亂入(!?)。
(出自:七龍珠)

推薦玩家 : 追擊破塔
上手度 : 易

角色成長：
力量 + 2.60
敏捷 + 2.30
智慧 + 1.50
基礎跑速 310

可學習的技能：
界王拳、瞬間移動、超級賽亞人、龜派氣功"
godie-opgh,常勝將軍,趙子龍,fighter,melee,吾は常山の趙子龍なり！（吾乃常山趙子龍是也！）,"故事：
傳說中七進七出救大嫂，被劉備發現後怒摔阿斗。據漢水，縱橫於千軍萬馬之中，視數十萬大軍如草芥，單人單騎，橫槍立於營外，豪氣干雲，敵人膽喪。
(出自:三國無雙)

推薦玩家 : 追擊擾亂
上手度 : 易

角色成長：
力量 + 2.00
敏捷 + 2.50
智慧 + 1.50
基礎跑速 315

可學習的技能：
一騎槍閃、橫掃千軍、閃光龍牙、狂龍霸體"
godie-orkn,電車癡漢,臭作,marksman,ranged,むっふっふ…いいお嬢さんだ（嘿嘿嘿…真是好姑娘）,"故事：
傳說中的變態色魔老頭，身懷眾多變態絕技，是去死團裡強大的怨念支柱，興趣是偷窺以及(嗶.............成人向)。
(出自:臭作)

推薦玩家 : 牽制殺人
上手度 : 中

角色成長：
力量 + 1.90
敏捷 + 2.75
智慧 + 1.75
基礎跑速 295

可學習的技能：
綁架、酒精灌腸、癡漢火焰、電車之狼衝擊"
godie-osam,犬妖,殺生丸,fighter,melee,邪魔だ（別擋路）,"故事：
犬夜叉同父異母的哥哥。他是完全的妖怪，能力要強得多，性格非常冷酷殘忍，對付自己的弟弟也是手下毫不留情。為了獲得更強大的力量加入去死團。
(出自:犬夜叉)

推薦玩家 : 龜裝PK
上手度 : 易

角色成長：
力量 + 1.85
敏捷 + 2.80
智慧 + 1.55
基礎跑速 305

可學習的技能：
合氣斬、風華之爪、爆碎丸、奧義蒼龍破"
godie-oshd,魔鬼筋肉人,鬼王達,marksman,ranged,無敵風火輪、喰らえっ！（吃我這招無敵風火輪！（《破壞之王》魔鬼筋肉人））,"故事：
雜貨店的老闆，也是傳說中的懦夫救星、中國古拳法的掌門人-綽號魔鬼筋肉人。選擇加入去死團展現他出色(!?)的武力。
(出自:破壞之王)

推薦玩家 : 輔助牽制
上手度 : 中

角色成長：
力量 + 1.75
敏捷 + 1.85
智慧 + 2.70
基礎跑速 295

可學習的技能：
鐵砂掌、鬼王流星雨、有功夫無懦夫、電光毒龍鑽"
godie-othr,X戰警,金鋼狼,fighter,melee,俺のやることは上品じゃないが、その道じゃ最高さ。行くぜ、Bub。（老子幹的活兒不怎麼上道，但這一行我最強。上吧，小子。）,"故事：
名為金鋼狼，是因為全身硬梆梆像金鋼一樣。身材雖然臃腫，速度和力量卻不輸其他人，但是長相不如人常被發好人卡，只有小豬能安慰(!?)他的寂寞。
(出自:偽特異功能組)

推薦玩家 : 追擊殺人
上手度 : 中

角色成長：
力量 + 1.50
敏捷 + 2.30
智慧 + 1.80
基礎跑速 300

可學習的技能：
迴旋爪擊、重爪擊、野性的呼喚、不要踢我蛋蛋"
godie-u00b,最M的魔法Jizz,清蒸 飛鼠先生,fighter,melee,もっと罵ってくれ…そうすれば俺の魔法は滑空して冴えわたる！（再多罵我幾句嘛…這樣我的魔法才能滑翔得又準又爽！）,
godie-u00h,鬼畜紅王,鬼畜狂刀KYO,fighter,melee,俺の名は、鬼眼の狂（我名為鬼眼之狂）,"故事：
關原之戰後四年千人斬傳說復活！
手拿五尺大刀，背上有太極圖徽紋
臉上有如鬼般的深紅雙眼！
懸賞一百萬兩的通緝犯
江湖上稱他為鬼畜狂刀。
(出自:鬼眼狂刀KYO)

推薦玩家 : 團戰殺手
上手度 : 中

角色成長：
力量 + 1.70
敏捷 + 2.40
智慧 + 1.65
基礎跑速 310

可學習的技能：
無名神風流-白虎 、無名神風流-朱雀、無明神風流-蛟龍、四神召喚 金色神風"
godie-u00j,神性的流失,賽菲洛斯,fighter,melee,僕はまた思い出になんかならない（我不會再化作回憶）,"故事：
賽菲洛斯是路克麗西亞和寶條博士的兒子。在胎兒時期被親生父親植入傑諾娃細胞，造成年輕的他成了神羅最強的精英戰士，與扎克斯和克勞德到了尼布爾罕做觀察，在那裡的神羅建築地下室發現自己真正的身世，毀了尼布爾罕之後，開始向全世界「復仇」，尋找「約束之地」。
(出自:最終幻想7)

推薦玩家 : 團戰破塔
上手度 : 中

角色成長：
力量 + 1.80
敏捷 + 2.10
智慧 + 1.90
基礎跑速 295

可學習的技能：
獄門、八刀一閃、闇之天使、最終殞落星"
godie-u00k,邪惡意念集合體,死之王,marksman,ranged,死こそが、救いだ…（唯有死亡才是救贖…）,"故事：
所有邪惡的聚合體，從上古時代就誕生的惡魔，與飛鼠先生一戰後魂飛魄散，在此次戰役中被召喚回來。
(出自:去死去死團的逆襲原創)

角色成長：
力量 + 1.00
敏捷 + 2.00
智慧 + 3.00
基礎跑速 275

可學習的技能：
死亡隕落、靈魂吸取、厄夜靈魂、萬惡歸宗"
godie-u00l,北斗之鼠,拳四郎,fighter,melee,お前はもう死んでいる（你已經死了）,"故事：
北斗神拳的唯一傳人，使用難以置信的秘穴(!?)拳法致敵人於死地。由於北斗星是不祥之星，與拳四郎相愛的女人皆會遭受不幸，使得充滿怨念的拳四郎終於爆發了。
(出自:北斗神拳)

角色成長：
力量 + 1.95
敏捷 + 2.80
智慧 + 1.45
基礎跑速 305

可學習的技能：
北斗懺悔拳、北斗神拳秘訣轉龍呼吸法、北斗百裂拳、ChangeDNA"
godie-u00n,草帽小子,蒙其.D.魯夫,fighter,melee,海賊王に、俺はなる！（我要成為海賊王！）,"故事：
魯夫小時候崇拜海賊「紅髮傑克」而夢想將來做個海賊，某一天，魯夫因為誤食惡魔果實成了橡膠人，卻也因此一輩子成為不能落水的旱鴨子！另魯夫崇拜的海賊傑克曾經為了拯救落海的魯夫免於海怪的襲擊，替魯夫擋下一次危難，卻也因此遭海怪咬斷了左手臂，而後，在紅髮傑克即將離開村莊之際，將自己的象徵物「草帽」寄給了魯夫，從此開啟了一位小男孩的海賊冒險之旅...
(出自:航海王)

推薦玩家 : 牽制殺人
上手度 : 易

角色成長：
力量 + 2.95
敏捷 + 1.60
智慧 + 1.50
基礎跑速 315

可學習的技能：
伸縮自如的橡膠戰斧、伸縮自如的橡膠火箭炮、伸縮自如的槍亂打、三檔 - 巨人迴旋彈"
godie-u00o,草帽小子,蒙其.D.魯夫,fighter,melee,海賊王に、俺はなる！（我要成為海賊王！）,"故事：
魯夫小時候崇拜海賊「紅髮傑克」而夢想將來做個海賊，某一天，魯夫因為誤食惡魔果實成了橡膠人，卻也因此一輩子成為不能落水的旱鴨子！另魯夫崇拜的海賊傑克曾經為了拯救落海的魯夫免於海怪的襲擊，替魯夫擋下一次危難，卻也因此遭海怪咬斷了左手臂，而後，在紅髮傑克即將離開村莊之際，將自己的象徵物「草帽」寄給了魯夫，從此開啟了一位小男孩的海賊冒險之旅...
(出自:航海王)

角色成長：
力量 + 2.95
敏捷 + 1.60
智慧 + 1.50
基礎跑速 315

可學習的技能：
伸縮自如的橡膠戰斧、伸縮自如的橡膠火箭炮、伸縮自如的槍亂打、三檔"
godie-u00v,黑手黨老大,基廉列克,fighter,melee,逆らう奴は、ぶっ潰す（敢反抗就碾碎你）,"故事：
前黑手黨老大，被手下背叛炸爛後接合回去所以身上有須多接痕及顏色，平常安靜，必要時非常的暴躁，武功高強，刀槍不入，有潔癖，愛帆布鞋成痴。
(出自:監獄兔)

推薦玩家 : 連技戰士
上手度 : 難

角色成長：
力量 + 2.60
敏捷 + 1.60
智慧 + 1.60
基礎跑速 300

可學習的技能：
斬鐵拳、地走龍牙破、廬山昇龍破、死亡噴射肘擊"
godie-u010,邪眼師,飛影,fighter,melee,邪王炎殺黒龍波！（邪王炎殺黑龍波！）,"故事：
在魔界中有名的盜賊妖怪，除了是一位邪王炎殺拳的高手之外，也是一位用劍的高手。為了尋找妹妹雪菜，而流浪於人間界與魔界。
(出自:幽遊白書)

推薦玩家 : PK殺手
上手度 : 難

角色成長：
力量 + 1.95
敏捷 + 2.65
智慧 + 1.65
基礎跑速 310

可學習的技能：
邪王炎殺劍、邪王炎殺煉獄焦、邪王炎殺黑龍波、黑龍波吸收"
godie-u011,死亡老二,克勞薩先生,fighter,melee,殺害（サツガイ）！！レイプ！レイプ！（殺害！！強暴！強暴！（克勞薩招牌怒吼））,
godie-u012,重金屬樂團的怪物,克勞薩II世,fighter,melee,メタルは文化だ！！（金屬就是文化！！）,"故事：
在一次""新人音樂家招募""活動中,意外加入了惡魔系重金屬樂隊""Detroit Metal City""(簡稱DMC)。將臉塗白、帶著金色假髮的根岸，化名成為樂隊的吉他手兼主唱""約翰-克勞薩II世""，以勁爆、狂野的演唱方式，立刻贏得了大量重金搖滾迷的追捧。
(出自:搖滾重金屬雙面人)

推薦玩家 : 追殺肉盾
上手度 : 易

角色成長：
力量 + 2.80
敏捷 + 1.50
智慧 + 1.80
基礎跑速 300

可學習的技能：
惡魔球、霸獸盔甲、打屁股風林火豬、瘋狂怪物"
godie-u01f,萬夫莫敵,黑化張飛,marksman,ranged,おうおう！燕人張飛様のお出ましだぜ！かかってきな！（喔喔！燕人張飛大爺登場啦！放馬過來！）,
godie-u01q,測試英雄,索隆,fighter,melee,背中の傷は、剣士の恥だ（背上的傷是劍士的恥辱）,
godie-u01u,三刀流劍士,索隆,fighter,melee,背中の傷は、剣士の恥だ（背上的傷是劍士的恥辱）,"故事：
夢想成為世界第一的大劍客，使用自創的三刀流劍術擊遍天下劍客。為了在戰鬥中追尋武藝的卓越加入了愛與和平奮戰。
(出自:航海王)

推薦玩家 : 連技戰士
上手度 : 難

角色成長：
力量 + 2.80
敏捷 + 1.65
智慧 + 1.65
基礎跑速 315

可學習的技能：
燒鬼斬、虎狩獵、鬼氣九刀流、三千世界"
godie-u034,職業獵人,傑 富力士,fighter,melee,友達になるのにだって資格なんていらない！！（想當朋友，根本不需要什麼資格！！）,"故事：
出身於鯨魚島，從小就在大自然中成長，鍛鍊出他一身恐怖的能力。在尋找父親的旅程中，莫名其妙捲入愛與怨念的戰場。
(出自:獵人X獵人)

推薦玩家 : 血牛巨砲
上手度 : 易

角色成長：
力量 + 2.45
敏捷 + 1.80
智慧 + 1.75
基礎跑速 300

可學習的技能：
流流舞、猜猜拳-剪刀、猜猜拳-拳頭、猜猜拳-布"
godie-ubal,魔界霸主,巴恩大魔王,fighter,melee,今のはメラゾーマではない…メラだ（剛才那不是美拉佐瑪…是美拉）,"故事：
巴恩為了永恆年輕的肉體，將自己精神轉移到老頭子身上，並將年輕肉體封印起來，只在重要戰役才有機會再使用，但是老邁身軀仍然擁有深不可測的智慧和魔力...。
(出自:神龍之謎)

推薦玩家 : 破塔殺人
上手度 : 難

角色成長：
力量 + 1.80
敏捷 + 1.95
智慧 + 2.55
基礎跑速 295

可學習的技能：
凱薩之鷹、黑核晶、災難之牆、魔界之王"
godie-ucrl,職業獵人,傑 富力士,fighter,melee,キルアじゃなきゃダメなんだ！（非奇犽不可！（只有奇犽才行！））,"故事：
出身於鯨魚島，從小就在大自然中成長，鍛鍊出他一身恐怖的能力。在尋找父親的旅程中，莫名其妙捲入愛與怨念的戰場。
(出自:獵人X獵人)

推薦玩家 : 血牛巨砲
上手度 : 易

角色成長：
力量 + 2.45
敏捷 + 1.80
智慧 + 1.75
基礎跑速 300

可學習的技能：
山形修煉-放出系、山形修煉-變化系、山形修煉-強化系、傑桑"
godie-udea,至尊學長,飛鼠先生,fighter,melee,えっ、ちょっと待って、チートのテストコードってどれだっけ？（耶，等一下作弊測試碼是哪個阿？）,"故事：
神秘的英雄，擅長以各種KUSO手法襲擊對手並加以推倒。
(出自:去死去死團的逆襲原創)

角色成長：
力量 + 1.00
敏捷 + 1.00
智慧 + 4.00
基礎跑速 320

可學習的技能：
神出鬼沒、寒冰破碎、魔法膨脹、天譴、永恆的愚蠢鄉"
godie-udre,三刀流劍士,索隆,fighter,melee,背中の傷は、剣士の恥だ（背上的傷是劍士的恥辱）,"故事：
夢想成為世界第一的大劍客，使用自創的三刀流劍術擊遍天下劍客。為了在戰鬥中追尋武藝的卓越加入了愛與和平奮戰。
(出自:航海王)

推薦玩家 : 連技戰士
上手度 : 難

角色成長：
力量 + 2.80
敏捷 + 1.65
智慧 + 1.65
基礎跑速 315

可學習的技能：
燒鬼斬、虎狩獵、鬼氣九刀流、三千世界"
godie-umal,北斗神拳掌門人,拳四郎,fighter,melee,お前はもう死んでいる（你已經死了）,"故事：
北斗神拳的唯一傳人，使用難以置信的秘穴(!?)拳法致敵人於死地。由於北斗星是不祥之星，與拳四郎相愛的女人皆會遭受不幸，使得充滿怨念的拳四郎終於爆發了。
(出自:北斗神拳)

推薦玩家 : KUSO殺人
上手度 : 難

角色成長：
力量 + 1.95
敏捷 + 2.80
智慧 + 1.45
基礎跑速 305

可學習的技能：
北斗懺悔權、北斗神拳秘訣轉龍呼吸法、北斗百烈拳、ChangeDNA"
godie-usyl,殺戮之牙,異形,marksman,ranged,宇宙では、あなたの悲鳴は誰にも聞こえない。（在宇宙中，沒有人聽得見你的尖叫。）,"故事：
傳說中外太空的邪惡生物，殺戮是他們的天性，難以對付的敵人。
(出自:異形)

推薦玩家 : 追擊暗殺
上手度 : 難

角色成長：
力量 + 1.80
敏捷 + 2.25
智慧 + 1.40
基礎跑速 320

可學習的技能：
遮斷獵殺、腐蝕毒液、蛻變、母體"
godie-uvng,邪眼師,飛影,fighter,melee,邪王炎殺黒龍波！（邪王炎殺黑龍波！）,"故事：
在魔界中有名的盜賊妖怪，除了是一位邪王炎殺拳的高手之外，也是一位用劍的高手。為了尋找妹妹雪菜，而流浪於人間界與魔界。
(出自:幽遊白書)

推薦玩家 : PK殺手
上手度 : 難

角色成長：
力量 + 1.95
敏捷 + 2.65
智慧 + 1.65
基礎跑速 310

可學習的技能：
邪王炎殺劍、邪王炎殺煉獄焦、邪王炎殺黑龍波、黑龍波吸收"
godie-uwar,食神,撒尿牛丸,marksman,ranged,心さえあれば、誰だって食神になれるんだ！（只要有心，人人都可以是食神！）,"故事：
神秘的戰士，據說是被混在一起才變成撒尿牛丸的。
(出自:食神)

推薦玩家 : 破塔殺人
上手度 : 中

角色成長：
力量 + 1.85
敏捷 + 2.00
智慧 + 2.45
基礎跑速 305

可學習的技能：
得罪了方丈還想走、打狗鏟、爆烈海景佛跳牆、火雲掌"
sela,,"Sela, the Ember Sage",mage,ranged,灰は終わりじゃない…そこから、わたしは燃え上がる。（灰燼並非終點…我將自此熊熊燃起。）,
thorne,,"Thorne, the Bramble Knight",bruiser,melee,我が茨よ、絡みつけ。お前に逃げ場などない。（我的荊棘啊，纏上去吧。你已無處可逃。）,
